Host	Port	Service
172016000002	21	ftp
172016000002	22	ssh
172016000002	111	rpcbind
172016000002	2049	nfs
172016000002	3389	ms-term-serv
172016000003	21	ftp
172016000003	22	ssh
172016000003	53	domain
172016000003	80	http
172016000003	111	rpcbind
172016000003	139	netbios-ssn
172016000003	443	https
172016000003	445	microsoft-ds
172016000003	631	ipp
172016000003	2049	nfs
172016000003	3690	svn
172016000006	21	ftp
172016000006	22	ssh
172016000006	80	http
172016000006	111	rpcbind
172016000006	2049	nfs
172016000006	3389	ms-term-serv
172016000007	135	msrpc
172016000007	139	netbios-ssn
172016000007	445	microsoft-ds
172016000007	1027	IIS
172016000007	1031	iad2
172016000007	1947	unknown
172016000007	3389	ms-term-serv
172016000008	135	msrpc
172016000008	139	netbios-ssn
172016000008	445	microsoft-ds
172016000008	1041	unknown
172016000008	3389	ms-term-serv
172016000008	16000	unknown
172016000008	27000	flexlm0
172016000015	22	ssh
172016000015	80	http
172016000015	111	rpcbind
172016000015	139	netbios-ssn
172016000015	445	microsoft-ds
172016000210	80	http
172016000210	135	msrpc
172016000210	139	netbios-ssn
172016000210	445	microsoft-ds
172016000210	3389	ms-term-serv
172016000210	5666	nrpe
172016000210	14000	unknown
172016000210	25734	unknown
172016000210	27000	flexlm0
172016000210	49153	unknown
172016010004	135	msrpc
172016010004	139	netbios-ssn
172016010004	445	microsoft-ds
172016010044	5357	unknown
172016012006	902	iss-realsecure
172016012006	912	unknown
172016012006	3389	ms-term-serv
172016012006	5357	unknown
172016012006	6000	X11
172016030001	135	msrpc
172016030001	139	netbios-ssn
172016030001	445	microsoft-ds
172016030001	3389	ms-term-serv
172016030001	6002	X11:2
172016030001	7001	afs3-callback
172016030001	7002	afs3-prserver
172016030001	30951	unknown
172016030001	49152	unknown
172016030001	49153	unknown
172016030001	49154	unknown
172016030001	49155	unknown
172016030001	49156	unknown
172016030001	49157	unknown
172016030002	135	msrpc
172016030002	139	netbios-ssn
172016030002	445	microsoft-ds
172016030002	3389	ms-term-serv
172016030002	6002	X11:2
172016030002	7001	afs3-callback
172016030002	7002	afs3-prserver
172016030002	30951	unknown
172016030002	49152	unknown
172016030002	49153	unknown
172016030002	49154	unknown
172016030002	49156	unknown
172016030002	49157	unknown
172016030002	49158	unknown
172016030003	135	msrpc
172016030003	139	netbios-ssn
172016030003	445	microsoft-ds
172016030003	3389	ms-term-serv
172016030003	6002	X11:2
172016030003	7001	afs3-callback
172016030003	7002	afs3-prserver
172016030003	30951	unknown
172016030003	49152	unknown
172016030003	49153	unknown
172016030003	49154	unknown
172016030003	49155	unknown
172016030003	49156	unknown
172016030003	49158	unknown
172016030005	135	msrpc
172016030005	139	netbios-ssn
172016030005	445	microsoft-ds
172016030005	3389	ms-term-serv
172016030005	6002	X11:2
172016030005	7001	afs3-callback
172016030005	7002	afs3-prserver
172016030005	30951	unknown
172016030005	49152	unknown
172016030005	49153	unknown
172016030005	49154	unknown
172016030005	49155	unknown
172016030005	49157	unknown
172016030005	49158	unknown
172016030006	135	msrpc
172016030006	139	netbios-ssn
172016030006	445	microsoft-ds
172016030006	3389	ms-term-serv
172016030006	6002	X11:2
172016030006	7001	afs3-callback
172016030006	7002	afs3-prserver
172016030006	30951	unknown
172016030006	49152	unknown
172016030006	49153	unknown
172016030006	49154	unknown
172016030006	49155	unknown
172016030006	49156	unknown
172016030006	49157	unknown
172016030007	135	msrpc
172016030007	139	netbios-ssn
172016030007	445	microsoft-ds
172016030007	3389	ms-term-serv
172016030007	6002	X11:2
172016030007	7001	afs3-callback
172016030007	7002	afs3-prserver
172016030007	30951	unknown
172016030007	49152	unknown
172016030007	49153	unknown
172016030007	49154	unknown
172016030007	49155	unknown
172016030007	49156	unknown
172016030007	49157	unknown
172016030008	135	msrpc
172016030008	139	netbios-ssn
172016030008	445	microsoft-ds
172016030008	3389	ms-term-serv
172016030008	6002	X11:2
172016030008	7001	afs3-callback
172016030008	7002	afs3-prserver
172016030008	30951	unknown
172016030008	49152	unknown
172016030008	49153	unknown
172016030008	49154	unknown
172016030008	49155	unknown
172016030008	49156	unknown
172016030008	49158	unknown
172016030009	135	msrpc
172016030009	139	netbios-ssn
172016030009	445	microsoft-ds
172016030009	1110	nfsd-status
172016030009	3389	ms-term-serv
172016030009	6002	X11:2
172016030009	7001	afs3-callback
172016030009	7002	afs3-prserver
172016030009	30951	unknown
172016030009	49152	unknown
172016030009	49153	unknown
172016030009	49154	unknown
172016030009	49156	unknown
172016030009	49157	unknown
172016030009	49161	unknown
172016030010	135	msrpc
172016030010	139	netbios-ssn
172016030010	445	microsoft-ds
172016030010	3389	ms-term-serv
172016030010	6002	X11:2
172016030010	7001	afs3-callback
172016030010	7002	afs3-prserver
172016030010	30951	unknown
172016030010	49152	unknown
172016030010	49153	unknown
172016030010	49154	unknown
172016030010	49155	unknown
172016030010	49156	unknown
172016030010	49157	unknown
172016030011	135	msrpc
172016030011	139	netbios-ssn
172016030011	445	microsoft-ds
172016030011	3389	ms-term-serv
172016030011	6002	X11:2
172016030011	7001	afs3-callback
172016030011	7002	afs3-prserver
172016030011	30951	unknown
172016030011	49152	unknown
172016030011	49153	unknown
172016030011	49154	unknown
172016030011	49155	unknown
172016030011	49156	unknown
172016030011	49158	unknown
172016030012	135	msrpc
172016030012	139	netbios-ssn
172016030012	445	microsoft-ds
172016030012	990	ftps
172016030012	3389	ms-term-serv
172016030012	6002	X11:2
172016030012	7001	afs3-callback
172016030012	7002	afs3-prserver
172016030012	30951	unknown
172016030012	49152	unknown
172016030012	49153	unknown
172016030012	49154	unknown
172016030012	49155	unknown
172016030012	49157	unknown
172016030012	49158	unknown
172016030013	135	msrpc
172016030013	139	netbios-ssn
172016030013	445	microsoft-ds
172016030013	990	ftps
172016030013	3389	ms-term-serv
172016030013	6002	X11:2
172016030013	7001	afs3-callback
172016030013	7002	afs3-prserver
172016030013	30951	unknown
172016030013	49152	unknown
172016030013	49153	unknown
172016030013	49154	unknown
172016030013	49155	unknown
172016030013	49156	unknown
172016030013	49157	unknown
172016030014	135	msrpc
172016030014	139	netbios-ssn
172016030014	445	microsoft-ds
172016030014	3389	ms-term-serv
172016030014	6002	X11:2
172016030014	7001	afs3-callback
172016030014	7002	afs3-prserver
172016030014	30951	unknown
172016030014	49152	unknown
172016030014	49153	unknown
172016030014	49154	unknown
172016030014	49155	unknown
172016030014	49156	unknown
172016030014	49158	unknown
172016030015	135	msrpc
172016030015	139	netbios-ssn
172016030015	445	microsoft-ds
172016030015	3389	ms-term-serv
172016030015	6002	X11:2
172016030015	7001	afs3-callback
172016030015	7002	afs3-prserver
172016030015	30951	unknown
172016030015	49152	unknown
172016030015	49153	unknown
172016030015	49154	unknown
172016030015	49155	unknown
172016030015	49156	unknown
172016030015	49157	unknown
172016030254	21	ftp
172016030254	80	http
172016030254	280	http-mgmt
172016030254	515	printer
172016030254	631	ipp
172016030254	5120	unknown
172016030254	9100	jetdirect
172016032001	80	http
172016032001	135	msrpc
172016032001	139	netbios-ssn
172016032001	1947	unknown
172016032001	3389	ms-term-serv
172016032001	6002	X11:2
172016032001	7001	afs3-callback
172016032001	7002	afs3-prserver
172016032001	49152	unknown
172016032001	49153	unknown
172016032001	49154	unknown
172016032001	49156	unknown
172016032001	49160	unknown
172016032001	49167	unknown
172016032002	80	http
172016032002	135	msrpc
172016032002	139	netbios-ssn
172016032002	1947	unknown
172016032002	3389	ms-term-serv
172016032002	6002	X11:2
172016032002	7001	afs3-callback
172016032002	7002	afs3-prserver
172016032002	49152	unknown
172016032002	49153	unknown
172016032002	49154	unknown
172016032002	49155	unknown
172016032002	49158	unknown
172016032002	49163	unknown
172016032002	55555	unknown
172016032004	80	http
172016032004	135	msrpc
172016032004	139	netbios-ssn
172016032004	1947	unknown
172016032004	3389	ms-term-serv
172016032004	6002	X11:2
172016032004	7001	afs3-callback
172016032004	7002	afs3-prserver
172016032004	49152	unknown
172016032004	49153	unknown
172016032004	49154	unknown
172016032004	49155	unknown
172016032004	49158	unknown
172016032004	49165	unknown
172016032006	80	http
172016032006	135	msrpc
172016032006	139	netbios-ssn
172016032006	1947	unknown
172016032006	3389	ms-term-serv
172016032006	6002	X11:2
172016032006	7001	afs3-callback
172016032006	7002	afs3-prserver
172016032006	49152	unknown
172016032006	49153	unknown
172016032006	49154	unknown
172016032006	49155	unknown
172016032006	49157	unknown
172016032006	49163	unknown
172016032254	80	http
172016032254	81	hosts2-ns
172016032254	139	netbios-ssn
172016032254	515	printer
172016033254	80	http
172016033254	81	hosts2-ns
172016033254	139	netbios-ssn
172016033254	515	printer
172016034003	80	http
172016034003	135	msrpc
172016034003	139	netbios-ssn
172016034003	1947	unknown
172016034003	3389	ms-term-serv
172016034003	6002	X11:2
172016034003	7001	afs3-callback
172016034003	7002	afs3-prserver
172016034003	49152	unknown
172016034003	49153	unknown
172016034003	49154	unknown
172016034003	49155	unknown
172016034003	49157	unknown
172016034003	49163	unknown
172016034004	80	http
172016034004	135	msrpc
172016034004	139	netbios-ssn
172016034004	1947	unknown
172016034004	3389	ms-term-serv
172016034004	6002	X11:2
172016034004	7001	afs3-callback
172016034004	7002	afs3-prserver
172016034004	49152	unknown
172016034004	49153	unknown
172016034004	49154	unknown
172016034004	49155	unknown
172016034004	49157	unknown
172016034004	49165	unknown
172016034005	80	http
172016034005	135	msrpc
172016034005	139	netbios-ssn
172016034005	1947	unknown
172016034005	3389	ms-term-serv
172016034005	5357	unknown
172016034005	6002	X11:2
172016034005	7001	afs3-callback
172016034005	7002	afs3-prserver
172016034005	49152	unknown
172016034005	49153	unknown
172016034005	49154	unknown
172016034005	49155	unknown
172016034005	49157	unknown
172016034005	49163	unknown
172016034006	80	http
172016034006	135	msrpc
172016034006	139	netbios-ssn
172016034006	1947	unknown
172016034006	3389	ms-term-serv
172016034006	6002	X11:2
172016034006	7001	afs3-callback
172016034006	7002	afs3-prserver
172016034006	49152	unknown
172016034006	49153	unknown
172016034006	49154	unknown
172016034006	49155	unknown
172016034006	49157	unknown
172016034006	49163	unknown
172016034254	21	ftp
172016034254	23	telnet
172016034254	80	http
172016034254	280	http-mgmt
172016034254	443	https
172016034254	515	printer
172016034254	631	ipp
172016034254	9100	jetdirect
172016034254	9220	unknown
172016034254	9290	unknown
172016034254	14000	unknown
172016035009	135	msrpc
172016035009	139	netbios-ssn
172016035009	3389	ms-term-serv
172016035009	6002	X11:2
172016035009	7001	afs3-callback
172016035009	7002	afs3-prserver
172016035009	49152	unknown
172016035009	49153	unknown
172016035009	49154	unknown
172016035009	49155	unknown
172016035009	49159	unknown
172016035009	49160	unknown
172016035009	55555	unknown
172016035011	135	msrpc
172016035011	139	netbios-ssn
172016035011	3389	ms-term-serv
172016035011	6002	X11:2
172016035011	7001	afs3-callback
172016035011	7002	afs3-prserver
172016035011	49152	unknown
172016035011	49153	unknown
172016035011	49154	unknown
172016035011	49155	unknown
172016035011	49165	unknown
172016035011	55555	unknown
172016035015	135	msrpc
172016035015	139	netbios-ssn
172016035015	3389	ms-term-serv
172016035015	6002	X11:2
172016035015	7001	afs3-callback
172016035015	7002	afs3-prserver
172016035015	49152	unknown
172016035015	49153	unknown
172016035015	49154	unknown
172016035015	49155	unknown
172016035015	49159	unknown
172016035015	49160	unknown
172016035015	55555	unknown
172016035019	135	msrpc
172016035019	139	netbios-ssn
172016035019	3389	ms-term-serv
172016035019	6002	X11:2
172016035019	7001	afs3-callback
172016035019	7002	afs3-prserver
172016035019	49152	unknown
172016035019	49153	unknown
172016035019	49154	unknown
172016035019	49155	unknown
172016035019	49159	unknown
172016035019	49160	unknown
172016035019	55555	unknown
172016036001	135	msrpc
172016036001	139	netbios-ssn
172016036001	1041	unknown
172016036001	3389	ms-term-serv
172016036001	16993	unknown
172016036002	135	msrpc
172016036002	139	netbios-ssn
172016036002	1039	unknown
172016036002	3389	ms-term-serv
172016036002	16993	unknown
172016036003	135	msrpc
172016036003	139	netbios-ssn
172016036003	1151	unknown
172016036003	1521	oracle
172016036003	3389	ms-term-serv
172016036003	16993	unknown
172016036004	135	msrpc
172016036004	139	netbios-ssn
172016036004	1039	unknown
172016036004	3389	ms-term-serv
172016036004	16993	unknown
172016036005	135	msrpc
172016036005	139	netbios-ssn
172016036005	1074	unknown
172016036005	3389	ms-term-serv
172016036005	16993	unknown
172016036006	135	msrpc
172016036006	139	netbios-ssn
172016036006	1040	netsaint
172016036006	3389	ms-term-serv
172016036006	16993	unknown
172016036007	135	msrpc
172016036007	139	netbios-ssn
172016036007	3389	ms-term-serv
172016036010	135	msrpc
172016036010	139	netbios-ssn
172016036010	1059	nimreg
172016036010	16993	unknown
172016036013	7	echo
172016036013	9	discard
172016036013	13	daytime
172016036013	17	qotd
172016036013	19	chargen
172016036013	135	msrpc
172016036013	139	netbios-ssn
172016036014	7	echo
172016036014	9	discard
172016036014	13	daytime
172016036014	17	qotd
172016036014	19	chargen
172016036014	135	msrpc
172016036014	139	netbios-ssn
172016036017	7	echo
172016036017	9	discard
172016036017	13	daytime
172016036017	17	qotd
172016036017	19	chargen
172016036017	135	msrpc
172016036017	139	netbios-ssn
172016036030	139	netbios-ssn
172016036030	445	microsoft-ds
172016036030	3389	ms-term-serv
172016036254	21	ftp
172016036254	23	telnet
172016036254	80	http
172016036254	280	http-mgmt
172016036254	443	https
172016036254	515	printer
172016036254	631	ipp
172016036254	9100	jetdirect
172016036254	14000	unknown
172016037002	139	netbios-ssn
172016037002	445	microsoft-ds
172016037002	3389	ms-term-serv
172016037003	139	netbios-ssn
172016037003	445	microsoft-ds
172016037003	3389	ms-term-serv
172016037004	139	netbios-ssn
172016037004	445	microsoft-ds
172016037004	3389	ms-term-serv
172016037005	139	netbios-ssn
172016037005	445	microsoft-ds
172016037005	3389	ms-term-serv
172016037006	139	netbios-ssn
172016037006	445	microsoft-ds
172016037010	25	smtp
172016037010	80	http
172016037010	135	msrpc
172016037010	139	netbios-ssn
172016037010	443	https
172016037010	445	microsoft-ds
172016037010	1025	NFS-or-IIS
172016037010	3389	ms-term-serv
172016037254	21	ftp
172016037254	23	telnet
172016037254	80	http
172016037254	280	http-mgmt
172016037254	443	https
172016037254	515	printer
172016037254	631	ipp
172016037254	9100	jetdirect
172016037254	14000	unknown
172016038001	135	msrpc
172016038001	139	netbios-ssn
172016038001	1028	unknown
172016038001	1031	iad2
172016038001	1700	mps-raft
172016038001	1947	unknown
172016038001	3389	ms-term-serv
172016038003	135	msrpc
172016038003	139	netbios-ssn
172016038003	1028	unknown
172016038003	1947	unknown
172016038003	3389	ms-term-serv
172016038004	135	msrpc
172016038004	139	netbios-ssn
172016038004	1028	unknown
172016038004	1947	unknown
172016038004	3389	ms-term-serv
172016038005	135	msrpc
172016038005	139	netbios-ssn
172016038005	1027	IIS
172016038005	1947	unknown
172016038005	3389	ms-term-serv
172016038006	135	msrpc
172016038006	139	netbios-ssn
172016038006	1028	unknown
172016038006	1947	unknown
172016038006	3389	ms-term-serv
172016038007	135	msrpc
172016038007	139	netbios-ssn
172016038007	1026	LSA-or-nterm
172016038007	1947	unknown
172016038007	3389	ms-term-serv
172016038009	135	msrpc
172016038009	139	netbios-ssn
172016038009	1028	unknown
172016038009	1947	unknown
172016038009	3389	ms-term-serv
172016038010	135	msrpc
172016038010	139	netbios-ssn
172016038010	1027	IIS
172016038010	1947	unknown
172016038010	3389	ms-term-serv
172016104005	22	ssh
172016104005	135	msrpc
172016104005	139	netbios-ssn
172016104005	990	ftps
172016104005	3389	ms-term-serv
172016104005	49152	unknown
172016104005	49153	unknown
172016104005	49154	unknown
172016104005	49155	unknown
172016104005	49157	unknown
172016104005	49160	unknown
172016104007	22	ssh
172016104007	135	msrpc
172016104007	139	netbios-ssn
172016104007	990	ftps
172016104007	3389	ms-term-serv
172016104007	49152	unknown
172016104007	49153	unknown
172016104007	49154	unknown
172016104007	49155	unknown
172016104007	49157	unknown
172016104007	49159	unknown
172016104010	22	ssh
172016104010	135	msrpc
172016104010	139	netbios-ssn
172016104010	990	ftps
172016104010	3389	ms-term-serv
172016104010	49152	unknown
172016104010	49153	unknown
172016104010	49154	unknown
172016104010	49155	unknown
172016104010	49158	unknown
172016104010	49160	unknown
172016104254	80	http
172016104254	427	svrloc
172016104254	443	https
172016104254	515	printer
172016104254	631	ipp
172016104254	5200	unknown
172016104254	9100	jetdirect
172016106002	22	ssh
172016106002	135	msrpc
172016106002	139	netbios-ssn
172016106002	3389	ms-term-serv
172016106002	5357	unknown
172016106002	5800	vnc-http
172016106002	5900	vnc
172016106002	16992	unknown
172016106002	49152	unknown
172016106002	49153	unknown
172016106002	49154	unknown
172016106002	49157	unknown
172016106002	49161	unknown
172016106003	22	ssh
172016106003	135	msrpc
172016106003	139	netbios-ssn
172016106003	3389	ms-term-serv
172016106003	5357	unknown
172016106003	5800	vnc-http
172016106003	5900	vnc
172016106003	16992	unknown
172016106003	49152	unknown
172016106003	49153	unknown
172016106003	49154	unknown
172016106003	49157	unknown
172016106003	49161	unknown
172016106004	22	ssh
172016106004	135	msrpc
172016106004	139	netbios-ssn
172016106004	3389	ms-term-serv
172016106004	5357	unknown
172016106004	5800	vnc-http
172016106004	5900	vnc
172016106004	16992	unknown
172016106004	49152	unknown
172016106004	49153	unknown
172016106004	49154	unknown
172016106004	49156	unknown
172016106004	49159	unknown
172016106004	49161	unknown
172016106005	22	ssh
172016106005	135	msrpc
172016106005	139	netbios-ssn
172016106005	3389	ms-term-serv
172016106005	5357	unknown
172016106005	5800	vnc-http
172016106005	5900	vnc
172016106005	16992	unknown
172016106005	49152	unknown
172016106005	49153	unknown
172016106005	49154	unknown
172016106005	49157	unknown
172016106005	49160	unknown
172016106007	22	ssh
172016106007	135	msrpc
172016106007	139	netbios-ssn
172016106007	3389	ms-term-serv
172016106007	5357	unknown
172016106007	5800	vnc-http
172016106007	5900	vnc
172016106007	16992	unknown
172016106007	49152	unknown
172016106007	49153	unknown
172016106007	49154	unknown
172016106007	49157	unknown
172016106007	49160	unknown
172016106008	22	ssh
172016106008	135	msrpc
172016106008	139	netbios-ssn
172016106008	3389	ms-term-serv
172016106008	5357	unknown
172016106008	5800	vnc-http
172016106008	5900	vnc
172016106008	16992	unknown
172016106008	49152	unknown
172016106008	49153	unknown
172016106008	49154	unknown
172016106008	49156	unknown
172016106008	49160	unknown
172016106008	49161	unknown
172016106009	22	ssh
172016106009	135	msrpc
172016106009	139	netbios-ssn
172016106009	3389	ms-term-serv
172016106009	5357	unknown
